표준코드,단축코드,한글 종목명,한글 종목약명
KR7002351005,2355,넥센타이어1우선주(신형),넥센타이어1우B
KR7002350007,2350,넥센타이어보통주,넥센타이어
KR7089140008,89140,넥스턴바이오사이언스,넥스턴바이오
KR7065170003,65170,넥스트비티,넥스트BT
KR7003580008,3580,넥스트사이언스보통주,넥스트사이언스
KR7137940003,137940,넥스트아이,넥스트아이
KR7160550000,160550,넥스트엔터테인먼트월드,NEW
KR7348210006,348210,넥스틴,넥스틴
KR7041140005,41140,넥슨지티,넥슨지티
KR7217270008,217270,넵튠,넵튠
KR7225570001,225570,넷게임즈,넷게임즈
KR7251270005,251270,넷마블보통주,넷마블
KR7317860005,317860,노드메이슨,노드메이슨
KR7104620000,104620,노랑풍선,노랑풍선
KR7090351008,90355,노루페인트 1우선주,노루페인트우
KR7090350000,90350,노루페인트 보통주,노루페인트
KR7000321000,325,노루홀딩스1우선주,노루홀딩스우
KR7000320002,320,노루홀딩스보통주,노루홀딩스
KR7194700001,194700,노바렉스,노바렉스
KR7285490009,285490,노바텍,노바텍
KR7229500004,229500,노브메타파마,노브메타파마
KR7106520000,106520,노블엠앤비,노블엠앤비
KR7376930004,376930,노을,노을
KR7278650007,278650,노터스,노터스
KR7006280002,6280,녹십자보통주,녹십자
KR7142280007,142280,녹십자엠에스,녹십자엠에스
KR7234690006,234690,녹십자웰빙,녹십자웰빙
KR7005252002,5257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우
KR7005250006,5250,녹십자홀딩스보통주,녹십자홀딩스
KR7065560005,65560,녹원씨엔아이,녹원씨엔아이
KR7004370003,4370,농심보통주,농심
KR7072710007,72710,농심홀딩스보통주,농심홀딩스
KR7154030001,154030,농업회사법인 아시아종묘,아시아종묘
KR7054050000,54050,농업회사법인농우바이오,농우바이오
KR7069140002,69140,누리플랜,누리플랜
KR7040160004,40160,누리플렉스,누리플렉스
KR7332290006,332290,누보,누보
KR7126870005,126870,뉴로스,뉴로스
KR7060260007,60260,뉴보텍,뉴보텍
KR7012340006,12340,뉴인텍,뉴인텍
KR7214870008,214870,뉴지랩파마,뉴지랩파마
KR7270870009,270870,뉴트리,뉴트리
KR7144960002,144960,뉴파워프라즈마,뉴파워프라즈마
KR7085670008,85670,뉴프렉스,뉴프렉스
KR7119860005,119860,다나와,다나와
KR7064260003,64260,다날,다날
KR7093640001,93640,다믈멀티미디어,다믈멀티미디어
KR7340360007,340360,다보링크,다보링크
KR7039560008,39560,다산네트웍스,다산네트웍스
KR7058730003,58730,다스코보통주,다스코
KR7023590003,23590,다우기술보통주,다우기술
KR7032190001,32190,다우데이타,다우데이타
KR7323350009,323350,다원넥스뷰,다원넥스뷰
KR7068240001,68240,다원시스,다원시스
KR7145210001,145210,다이나믹디자인보통주,다이나믹디자인
KR7271850000,271850,다이오진,다이오진
KR7343090007,343090,단디바이오사이언스,단디바이오
KR7019680008,19680,대교보통주,대교
KR7019681006,19685,대교우선주(신형),대교우B
KR7006370001,6370,대구백화점보통주,대구백화점
KR700806K010,00806K,대덕1우선주,대덕1우
KR7008060006,8060,대덕보통주,대덕
KR7353200009,353200,대덕전자보통주,대덕전자
KR735320K011,35320K,대덕전자우선주,대덕전자1우
KR7178600003,178600,대동고려삼 주식회사,대동고려삼
KR7020400008,20400,대동금속,대동금속
KR7008830002,8830,대동기어,대동기어
KR7000490003,490,대동보통주,대동
KR7048470009,48470,대동스틸,대동스틸
KR7008110009,8110,대동전자보통주,대동전자
KR7004780003,4780,대륙제관,대륙제관
KR7005750005,5750,대림B&Co보통주,대림B&Co
KR7017650003,17650,대림제지,대림제지
KR7006570006,6570,대림통상보통주,대림통상
KR7007720006,7720,대명소노시즌,대명소노시즌
KR7317850006,317850,대모엔지니어링,대모
KR7290670009,290670,대보마그네틱,대보마그네틱
KR7078140001,78140,대봉엘에스,대봉엘에스
KR7001681006,1685,대상1우선주,대상우
KR7001680008,1680,대상보통주,대상
KR7084691005,84695,대상홀딩스 1우선주,대상홀딩스우
KR7084690007,84690,대상홀딩스 보통주,대상홀딩스
KR7036480002,36480,대성미생물연구소,대성미생물
KR7128820008,128820,대성산업보통주,대성산업
KR7117580001,117580,대성에너지보통주,대성에너지
KR7025440009,25440,대성엘텍,대성엘텍
KR7027830009,27830,대성창업투자,대성창투
KR7104040001,104040,대성파인텍,대성파인텍
KR7016710006,16710,대성홀딩스보통주,대성홀딩스
KR7387310006,387310,대신밸런스제10호기업인수목적,대신밸런스제10호스팩
KR7397500000,397500,대신밸런스제11호기업인수목적,대신밸런스제11호스팩
KR7336570007,336570,대신밸런스제8호기업인수목적,대신밸런스제8호스팩
KR7020180006,20180,대신정보통신,대신정보통신
KR7003541000,3545,대신증권1우선주,대신증권우
KR7003542008,3547,대신증권2우선주(신형),대신증권2우B
KR7003540002,3540,대신증권보통주,대신증권
KR7045390002,45390,대아티아이,대아티아이
KR7009190000,9190,대양금속보통주,대양금속
KR7108380007,108380,대양전기공업,대양전기공업
KR7006580005,6580,대양제지공업,대양제지
KR7014160006,14160,대영포장보통주,대영포장
KR7047040001,47040,대우건설보통주,대우건설
KR7009320003,9320,대우전자부품보통주,대우부품
KR7042660001,42660,대우조선해양보통주,대우조선해양
KR7003090008,3090,대웅보통주,대웅
KR7069620003,69620,대웅제약보통주,대웅제약
KR7007680002,7680,대원,대원
KR7000430009,430,대원강업보통주,대원강업
KR7048910004,48910,대원미디어,대원미디어
KR7005710009,5710,대원산업,대원산업
KR7006341002,6345,대원전선1우선주,대원전선우
KR7006340004,6340,대원전선보통주,대원전선
KR7003220001,3220,대원제약보통주,대원제약
KR7024890006,24890,대원화성보통주,대원화성
KR7290380005,290380,대유,대유
KR7002880003,2880,대유에이텍,대유에이텍
KR7290120005,290120,대유에이피,대유에이피
KR7000300004,300,대유플러스보통주,대유플러스
KR7120240007,120240,대정화금,대정화금
KR7003310000,3310,대주산업,대주산업
KR7114920002,114920,대주이엔티 주식회사,대주이엔티
KR7078600004,78600,대주전자재료,대주전자재료
KR7015230006,15230,대창단조보통주,대창단조
KR7012800009,12800,대창보통주,대창
KR7096350004,96350,대창솔루션,대창솔루션
KR7140520008,140520,대창스틸,대창스틸
KR7131220006,131220,대한과학,대한과학
KR7010170009,10170,대한광통신,대한광통신
KR7060900008,60900,대한그린파워,대한그린파워
KR7054670005,54670,대한뉴팜,대한뉴팜
KR7001070002,1070,대한방직보통주,대한방직
KR7023910003,23910,대한약품공업,대한약품
KR7006650006,6650,대한유화보통주,대한유화
KR7001440007,1440,대한전선보통주,대한전선
KR7084010008,84010,대한제강 보통주,대한제강
KR7001791003,1795,대한제당1우선주,대한제당우
KR7001790005,1790,대한제당보통주,대한제당
KR7001130004,1130,대한제분보통주,대한제분
